employee_id,gender,username,first_name,last_name,birthday,specialty,qualification_no,qualification_expiry,branch_id
EMP000002,Male,pbell,Li,Xing,1999-08-30,Yoga Instruction,CERT-202504-000-1733,2029-11-01,GY345111
EMP000003,Female,angelaking,Min,Liu,1963-04-22,Pilates Instruction,CERT-202504-000-4612,2028-09-14,GY852665
EMP000006,Male,sharon16,Jing,Xu,1996-04-27,CrossFit Training,CERT-202504-000-8816,2027-02-15,GY777965
EMP000007,Female,virginialowe,Liu,Wang,1976-12-28,Sports Rehabilitation,CERT-202504-000-1654,2026-12-22,GY349088
EMP000008,Female,banksdavid,Hong,Xu,2001-03-26,CrossFit Training,CERT-202504-000-7251,2026-10-30,GY652227
EMP000009,Female,joneskim,Yu Hua,Li,1994-12-07,Nutrition Coaching,CERT-202504-000-8481,2026-07-18,GY096774
EMP000012,Male,anthonytaylor,Xiao Hong,Song,1986-02-22,Strength Training,CERT-202504-000-8183,2028-12-26,GY925458
EMP000014,Male,monica17,Yu Zhen,Tan,1966-09-18,Yoga Instruction,CERT-202504-000-9463,2027-07-20,GY335106
EMP000017,Male,angela08,Gang,He,1992-07-28,Yoga Instruction,CERT-202504-000-4491,2027-11-24,GY406156
EMP000019,Male,kellergerald,Rong,Zhang,1967-11-01,Strength Training,CERT-202504-000-9997,2028-07-15,GY730835
EMP000020,Male,daviscarrie,Xiu Lan,Zhang,2006-07-01,Strength Training,CERT-202504-000-6902,2026-07-03,GY281197
EMP000021,Female,juliaanderson,Wei,Huang,1998-12-18,Nutrition Coaching,CERT-202504-000-7087,2028-11-22,GY748681
EMP000027,Male,jmata,Yan,Han,2006-01-05,Weight Management,CERT-202504-000-6313,2029-08-22,GY696367
EMP000030,Female,grahamkaren,Xiu Hua,Ge,1973-10-01,Strength Training,CERT-202504-000-9439,2029-07-11,GY738383
EMP000031,Female,sylvia92,Ping,Zhang,1974-07-26,Yoga Instruction,CERT-202504-000-4645,2026-09-28,GY287631
EMP000032,Female,adrianwagner,Yu Hua,Lan,1963-03-15,Strength Training,CERT-202504-000-3966,2027-02-19,GY733568
EMP000038,Male,williamsthomas,Xiao Hong,Luo,1988-06-30,Strength Training,CERT-202504-000-3773,2028-11-21,GY026067
EMP000039,Male,speterson,Shu Lan,Zhang,2002-08-08,Weight Management,CERT-202504-000-8521,2029-05-30,GY541992
