employee_id,gender,username,first_name,last_name,birthday,branch_id
EMP000001,Male,longkimberly,Ting,Han,1977-09-25,GY910127
EMP000002,Male,pbell,Li,Xing,1999-08-30,GY345111
EMP000003,Female,angelaking,Min,Liu,1963-04-22,GY852665
EMP000004,Female,toni32,Peng,Hu,1960-07-18,GY847791
EMP000005,Female,ulee,Feng Lan,Wei,1997-12-13,GY710844
EMP000006,Male,sharon16,Jing,Xu,1996-04-27,GY777965
EMP000007,Female,virginialowe,Liu,Wang,1976-12-28,GY349088
EMP000008,Female,banksdavid,Hong,Xu,2001-03-26,GY652227
EMP000009,Female,joneskim,Yu Hua,Li,1994-12-07,GY096774
EMP000010,Male,ballrobin,Bin,Huang,1986-12-09,GY075902
EMP000011,Female,walterpineda,Lei,Liao,1997-02-17,GY636174
EMP000012,Male,anthonytaylor,Xiao Hong,Song,1986-02-22,GY925458
EMP000013,Male,jessicayang,Li,Liu,2004-08-18,GY557894
EMP000014,Male,monica17,Yu Zhen,Tan,1966-09-18,GY335106
EMP000015,Male,susanvillarreal,Liang,Wang,1997-12-04,GY366985
EMP000016,Male,awalker,Xiu Yun,Zhao,1969-12-23,GY265053
EMP000017,Male,angela08,Gang,He,1992-07-28,GY406156
EMP000018,Male,patricialopez,Rong,Wang,1961-03-29,GY873460
EMP000019,Male,kellergerald,Rong,Zhang,1967-11-01,GY730835
EMP000020,Male,daviscarrie,Xiu Lan,Zhang,2006-07-01,GY281197
EMP000021,Female,juliaanderson,Wei,Huang,1998-12-18,GY748681
EMP000022,Female,melendezkenneth,Jun,Cai,1964-07-27,GY644309
EMP000023,Female,scook,Ying,Xie,2003-05-28,GY897675
EMP000024,Female,donald62,Min,Su,1968-03-15,GY821646
EMP000025,Male,taylorjoan,Ying,Ru,1980-06-30,GY487016
EMP000026,Male,maryayers,Lan Ying,Liao,1979-02-20,GY632126
EMP000027,Male,jmata,Yan,Han,2006-01-05,GY696367
EMP000028,Male,brandon73,Gui Ying,Gao,1980-10-19,GY016755
EMP000029,Female,rogersallison,Xiu Lan,Wang,1962-07-14,GY749020
EMP000030,Female,grahamkaren,Xiu Hua,Ge,1973-10-01,GY738383
EMP000031,Female,sylvia92,Ping,Zhang,1974-07-26,GY287631
EMP000032,Female,adrianwagner,Yu Hua,Lan,1963-03-15,GY733568
EMP000033,Male,fmiller,Yu,Gao,1971-02-03,GY710633
