member_id,gender,username,first_name,last_name,birthday,branch_id
MEM0000001,Male,amanda68,Cheng,Wang,1964-04-07,GY116913
MEM0000002,Female,seanwilson,Xue Mei,Wang,1968-01-20,GY925458
MEM0000003,Male,smiththeresa,Yu,Mao,1965-09-06,GY089560
MEM0000004,Female,stoutkayla,Shu Zhen,Liu,1981-08-27,GY708981
MEM0000005,Female,james26,Shu Ying,Cheng,1962-05-04,GY030894
MEM0000006,Female,davisstephanie,Dan,Zhu,1989-06-12,GY870748
MEM0000007,Male,patricia38,Dan,Shao,2004-05-10,GY777965
MEM0000008,Male,cartertroy,Lan Ying,Wan,1997-07-24,GY597180
MEM0000009,Male,twaller,Gui Xiang,Chen,1985-08-10,GY150157
MEM0000010,Male,pwhite,Ping,Chen,1987-05-01,GY118765
MEM0000011,Male,ytaylor,Li Li,Di,1978-08-29,GY076629
MEM0000012,Male,qjenkins,Xiu Mei,Yang,1982-09-11,GY923728
MEM0000013,Female,david64,Jian,Fan,1962-07-02,GY444024
MEM0000014,Male,pamelahudson,Hua,Zhang,1988-07-09,GY499956
MEM0000015,Male,robinsonjoe,Yu Zhen,Ge,1993-02-10,GY460938
MEM0000016,Female,paul13,Yu,Wang,2001-11-05,GY010225
MEM0000017,Male,qvillegas,Liu,Su,1987-06-19,GY791340
MEM0000018,Female,rmiddleton,Yang,Zhang,1965-11-29,GY431129
MEM0000019,Male,patriciathompson,Bing,Zhao,1989-08-29,GY510083
MEM0000020,Female,kaylamitchell,Gui Xiang,Zhao,1975-06-09,GY517505
MEM0000021,Male,kimberlyhoover,Ying,Li,1978-10-18,GY007720
MEM0000022,Male,sflores,Chao,Yao,1974-04-01,GY883753
MEM0000023,Male,xcook,Hong Xia,Wu,1990-08-15,GY601100
MEM0000024,Male,sotokathleen,Lei,Zhou,1964-11-08,GY564374
MEM0000025,Male,ssullivan,Gui Rong,Zhang,2000-01-15,GY894210
MEM0000026,Female,barnesanthony,Qiang,Liu,1963-11-17,GY963870
MEM0000027,Male,kiarasanders,Yu,Dai,1979-11-22,GY160132
MEM0000028,Female,patrick89,Yang,Tan,1977-10-05,GY425110
MEM0000029,Male,maciaspriscilla,Gui Fang,Li,1993-06-22,GY977314
MEM0000030,Female,walterssamantha,Dong Mei,Zhang,2006-08-03,GY558846
MEM0000031,Female,simsbradley,Fei,Li,1971-07-16,GY803376
MEM0000032,Male,ypalmer,Ping,Wei,2000-12-19,GY948649
MEM0000033,Male,edwardbuckley,Wei,Hu,1986-07-26,GY925458
