employee_id,gender,username,first_name,last_name,birthday,branch_id
EMP000001,Male,longkimberly,Ting,Han,1977-09-25,GY910127
EMP000004,Female,toni32,Peng,Hu,1960-07-18,GY847791
EMP000005,Female,ulee,Feng Lan,Wei,1997-12-13,GY710844
EMP000010,Male,ballrobin,Bin,Huang,1986-12-09,GY075902
EMP000011,Female,walterpineda,Lei,Liao,1997-02-17,GY636174
EMP000013,Male,jessicayang,Li,Liu,2004-08-18,GY557894
EMP000015,Male,susanvillarreal,Liang,Wang,1997-12-04,GY366985
EMP000016,Male,awalker,Xiu Yun,Zhao,1969-12-23,GY265053
EMP000018,Male,patricialopez,Rong,Wang,1961-03-29,GY873460
EMP000023,Female,scook,Ying,Xie,2003-05-28,GY897675
EMP000024,Female,donald62,Min,Su,1968-03-15,GY821646
EMP000025,Male,taylorjoan,Ying,Ru,1980-06-30,GY487016
EMP000028,Male,brandon73,Gui Ying,Gao,1980-10-19,GY016755
EMP000029,Female,rogersallison,Xiu Lan,Wang,1962-07-14,GY749020
EMP000033,Male,fmiller,Yu,Gao,1971-02-03,GY710633
EMP000035,Male,vblackwell,Hong Mei,Gan,1967-06-01,GY759217
EMP000036,Male,qcontreras,Shu Hua,Tang,1999-05-29,GY710078
EMP000044,Male,ramseyjames,Bin,Lin,1973-11-17,GY273911
EMP000048,Female,barbarataylor,Gui Zhen,Hu,1971-04-15,GY279614
EMP000057,Male,matthewhebert,Jing,Li,1967-01-01,GY021495
EMP000060,Male,dillontaylor,Yu,Lao,1978-11-24,GY464463
EMP000063,Male,marvin34,Yu Lan,Kang,1984-11-05,GY002066
EMP000064,Female,katherine96,Jing,Song,1994-11-01,GY581306
EMP000075,Female,lisacook,Yu Lan,Du,1998-08-14,GY870748
EMP000080,Male,wilsonchristopher,Xiu Fang,Jiao,1960-07-25,GY029113
EMP000082,Male,susangarcia,Dong Mei,Zhou,1990-04-07,GY806261
EMP000085,Female,wpadilla,Hua,Yang,1986-07-15,GY910127
EMP000092,Male,marcia74,Lin,Huang,1971-02-07,GY450975
EMP000093,Male,pearsonharry,Xiu Hua,Nie,1996-02-16,GY759217
EMP000098,Male,randall45,Yu Lan,Chen,1964-09-24,GY384578
EMP000103,Male,ericharris,Jie,Wu,1962-11-04,GY848881
EMP000104,Male,blackamber,Shu Ying,Luo,1990-05-02,GY723220
EMP000105,Male,danielhancock,Li Hua,Deng,1977-05-12,GY584314
EMP000108,Male,elizabeth51,Liu,Xing,1990-09-05,GY798654
EMP000110,Female,mileschristopher,Dan Dan,Yuan,2004-09-05,GY465683
EMP000122,Male,leealexis,Chun Mei,Feng,1982-05-16,GY603070
EMP000126,Male,matthew53,Min,Ai,1976-09-16,GY276495
EMP000127,Male,michael76,Yu,Nan,2006-07-02,GY548709
EMP000128,Female,ashleyperry,Chao,Jiang,2006-05-21,GY450975
EMP000130,Female,longdaniel,Li,Feng,1986-02-13,GY110247
EMP000141,Male,shirleywright,Zhi Qiang,Guo,1993-07-26,GY736462
EMP000142,Female,harristina,Lei,Zhang,1973-08-26,GY642904
EMP000144,Male,mirandacombs,Dan Dan,Chen,1978-08-11,GY016663
EMP000147,Female,brettklein,Jun,Lei,1994-03-23,GY335106
EMP000148,Male,cathy21,Xiu Fang,Zou,1991-01-13,GY603473
EMP000150,Male,richard02,Yu Mei,Guo,1961-12-09,GY288855
EMP000151,Female,betty25,Nan,Yu,2004-03-07,GY307656
EMP000153,Male,qsims,Xiu Ying,Xie,2003-08-30,GY335106
EMP000155,Female,smithcynthia,Jing,Liu,1970-10-13,GY494554
EMP000158,Female,martinmelissa,Xiu Lan,Li,1991-11-15,GY494112
EMP000160,Male,rcosta,Min,Yang,2001-08-08,GY241104
EMP000162,Male,kimberlykelly,Lei,Lu,1986-12-23,GY894210
EMP000163,Male,dianamcgrath,Chen,Feng,1961-04-26,GY659968
EMP000164,Male,fjohnson,Gui Hua,Wu,1979-05-28,GY016755
EMP000166,Male,frankcarter,Bing,Liu,1999-01-19,GY021148
EMP000171,Male,bryanthompson,Lei,Lao,1986-12-14,GY530000
EMP000172,Female,abrown,Xiu Lan,Liu,1969-03-01,GY969634
EMP000176,Male,jenkinsarthur,Ying,Wu,1990-01-26,GY552271
EMP000185,Male,jamie38,Bin,Liu,2002-04-13,GY861779
EMP000194,Male,christophersmith,Ying,Yang,1974-04-21,GY234853
EMP000199,Male,vaughnlauren,Gui Lan,Wu,1991-09-05,GY894722
EMP000203,Female,jasonherrera,Yang,Feng,1974-07-27,GY717821
EMP000204,Male,steelecourtney,Shu Zhen,Yu,1993-11-28,GY659968
EMP000207,Female,armstrongwilliam,Bo,Lu,1979-12-23,GY494112
EMP000210,Male,allison04,Gui Zhi,Cheng,1979-04-07,GY900879
EMP000212,Female,andre02,Kai,Pei,1986-01-14,GY548709
EMP000214,Female,ubrooks,Li Juan,Cao,2002-08-19,GY142942
EMP000222,Male,kevincook,Wen,Pan,1962-11-25,GY401799
EMP000226,Female,mcintoshdarren,Li,Lin,1988-09-29,GY408962
EMP000227,Female,gilbertpaul,Ting Ting,Huang,1961-03-30,GY910127
EMP000230,Female,nicholas95,Kun,Liu,1970-07-09,GY231214
EMP000235,Male,qgarcia,Ping,Bian,1967-11-02,GY179736
EMP000239,Female,millerrachel,Lu,Tong,1965-06-21,GY431129
EMP000244,Male,ortegatanya,Feng,Zhong,1990-12-13,GY984970
EMP000248,Male,chad63,Xue,Shen,1973-04-28,GY862758
EMP000253,Female,tiffanywall,Ning,Zhao,1966-07-18,GY914223
EMP000256,Male,ubrown,Lei,Tian,1979-05-06,GY718818
EMP000258,Male,terrigallagher,Xiu Lan,Lei,1995-06-27,GY530000
EMP000259,Male,debrabrown,Jie,Shao,1970-02-12,GY030338
EMP000266,Male,sierra99,Bo,Zhou,2000-02-12,GY301925
EMP000268,Female,johnsonarthur,Ying,Mo,1976-11-29,GY790511
EMP000271,Male,hansenjodi,Yan,Liu,1974-06-14,GY349088
EMP000273,Female,jason20,Yu Zhen,Pan,1992-03-16,GY819531
EMP000288,Male,barnestommy,Peng,Liu,2000-03-06,GY237515
EMP000295,Male,mcuevas,Wei,Deng,1998-05-20,GY345111
EMP000297,Male,kathryn88,Li Li,Yao,2002-06-12,GY517505
EMP000304,Female,eblanchard,Gui Hua,Huang,2005-08-09,GY385938
EMP000315,Female,watsonsamantha,Jing,Yan,1971-03-16,GY001836
EMP000320,Female,sanchezmary,Ting Ting,Wang,1966-10-15,GY667437
EMP000321,Male,hwhitehead,Xiao Hong,Zhao,1991-12-17,GY738417
EMP000322,Male,sherry49,Kai,Ding,1966-11-13,GY726111
EMP000325,Male,juliemalone,Na,Fan,1987-11-24,GY048981
EMP000328,Male,johnhicks,Hao,Zhang,1967-01-18,GY852665
EMP000331,Female,gwilson,Jia,Liu,1982-04-22,GY026067
EMP000332,Male,scottkimberly,Qiang,Song,1988-01-22,GY272933
EMP000334,Female,regina28,Xiu Hua,Liao,1974-08-25,GY067302
EMP000335,Male,deborahdaniels,Jian Jun,Chen,1964-06-15,GY292346
EMP000340,Female,bellcourtney,Dan Dan,Song,1974-04-30,GY105358
EMP000346,Male,carly20,Kai,Wu,1987-11-11,GY481290
EMP000349,Female,marysingh,Yan,Feng,1992-02-14,GY948649
EMP000352,Female,ffigueroa,Yu,Jiang,1999-06-16,GY506258
EMP000355,Female,solismorgan,Nan,Xie,1989-10-02,GY637908
EMP000359,Male,jordanjoshua,Bing,Xu,1977-01-21,GY362704
EMP000360,Male,flopez,Yu,Zou,2003-12-10,GY402518
EMP000361,Female,pamelacase,Ping,Wang,1965-07-04,GY759217
EMP000362,Female,allenelliott,Feng,Deng,2007-03-30,GY610057
EMP000363,Female,turnerjames,Bo,Yu,1986-12-23,GY749020
EMP000364,Female,dyerjoshua,Ming,Ding,1979-03-04,GY641784
EMP000370,Female,tylermartinez,Ping,Chen,1970-10-06,GY840295
EMP000371,Female,jennifer90,Xiu Lan,Qiao,1979-04-27,GY710844
EMP000377,Female,rhondastevens,Li,Li,2001-01-30,GY699579
EMP000378,Male,fjones,Mei,Zhu,2005-11-30,GY673083
EMP000381,Female,frankromero,Gui Hua,Yang,1993-10-21,GY902238
EMP000383,Male,monica80,Lei,Zhuo,1970-12-03,GY247996
EMP000385,Female,abean,Jia,Zhang,1991-05-15,GY886308
EMP000386,Male,uwilliams,Ying,Luo,1999-07-11,GY723266
EMP000394,Male,iparker,Yan,Yang,1964-08-15,GY057253
