customer_id,first_name,last_name,gender,phone,birth
C0000001,Danielle,Grimes,Female,39068406592,1927-01-13
C0000002,Gary,Williamson,Male,48309308163,1941-02-26
C0000003,Nicholas,Kennedy,Male,45169768926,1987-10-16
C0000004,Mary,Hansen,Female,86583835426,1984-03-06
C0000005,Karen,Perez,Female,83587212536,1986-06-02
C0000006,Brian,Collier,Male,61431543055,1999-09-20
C0000007,Taylor,Medina,Female,18319777118,1934-01-09
C0000008,Jessica,Clay,Female,15206021531,1938-07-18
C0000009,Stacie,Allen,Female,42357696385,1944-12-15
C0000010,Elizabeth,Frazier,Female,63102840499,1959-05-24
C0000011,Laura,West,Female,26785716133,1977-06-07
C0000012,Kari,Gregory,Female,31020910727,1957-01-10
C0000013,Mary,Randall,Female,49575433296,1945-09-05
C0000014,Christopher,Roberts,Male,91945534815,2003-03-15
C0000015,Christopher,Jones,Male,64023487808,1931-02-26
C0000016,Lisa,Bryant,Female,24503365567,1985-12-11
C0000017,Mark,Rose,Male,61474508877,1924-02-27
C0000018,Kara,Gonzalez,Female,83092027839,1964-06-28
C0000019,Denise,Carter,Female,46961266259,1945-07-08
C0000020,Sean,Hatfield,Male,99466028107,1946-11-08
C0000021,Victoria,Snow,Female,81340019359,1950-05-17
C0000022,Hannah,Lucas,Female,64516882896,1929-11-06
C0000023,Mallory,Kent,Female,10059339004,2004-11-19
C0000024,Alison,Pearson,Female,80104135927,1992-07-10
C0000025,Amanda,Chapman,Female,95117228610,1968-08-16
C0000026,Steve,Jones,Male,56815731098,1978-12-25
C0000027,Linda,Barker,Female,77675493707,1935-02-08
C0000028,Eric,Cervantes,Male,54585651383,1979-03-07
C0000029,Paul,Hess,Male,59286186304,1936-12-21
C0000030,Wendy,Lewis,Female,47419108192,1950-05-18
C0000031,Anita,Carrillo,Female,82222218577,1944-01-12
C0000032,Erik,Welch,Male,38227772998,1963-12-10
C0000033,Donna,Gonzales,Female,53137973786,1931-05-28
C0000034,Melissa,Hawkins,Female,38041890886,1986-10-08
C0000035,Debbie,Welch,Female,94490136111,1982-04-04
C0000036,Theresa,Griffin,Female,92029434353,1967-11-01
C0000037,Jessica,Clark,Female,73455046172,1980-11-07
C0000038,Melanie,Nguyen,Female,54125150131,1983-04-15
C0000039,Robin,Patel,Female,23816397350,2000-09-28
C0000040,Kathleen,Hill,Female,80859809488,1947-03-16
C0000041,Karl,Jennings,Male,36330666112,1994-02-13
C0000042,Michael,Rivera,Male,62806834527,1971-06-27
C0000043,Christian,Davis,Male,71796504365,1998-11-13
C0000044,Debra,Woods,Female,13555212586,1966-02-13
C0000045,Andrea,Scott,Female,98841619482,1931-09-27
C0000046,Tyler,Marshall,Male,15110509886,1955-01-26
C0000047,Roger,Soto,Male,58649569733,1928-03-11
C0000048,Chelsea,Myers,Female,86020833305,1945-02-08
C0000049,Sarah,Castro,Female,47243252517,1961-05-30
C0000050,Blake,Cobb,Male,59624273016,1954-05-21
C0000051,Robert,Blanchard,Male,54551545113,1984-12-23
C0000052,Daniel,Fernandez,Male,16237538710,1924-06-29
C0000053,Todd,Smith,Male,22627438558,1932-08-24
C0000054,Jennifer,Norman,Female,89851280042,1962-07-22
C0000055,Brittany,Nelson,Female,65146077124,1954-08-22
C0000056,Troy,Tran,Male,67828386916,1928-09-02
C0000057,Jeremy,Jackson,Male,11658319888,1980-02-19
C0000058,Emily,Ramsey,Female,94639418736,1948-06-08
C0000059,Brittany,Smith,Female,19295605657,1968-06-09
C0000060,Kyle,Ho,Male,72079717692,1933-06-04
C0000061,Thomas,Owens,Male,14448393071,1974-09-02
C0000062,Jason,Carroll,Male,71173281226,1931-08-25
C0000063,Ronald,King,Male,47056754562,1995-11-13
C0000064,Robert,Lopez,Male,82020258583,1962-04-05
C0000065,Doris,Bradley,Female,68663142595,1937-04-25
C0000066,Paul,Castillo,Male,51960373281,2002-06-12
C0000067,Gabriel,Maxwell,Male,24412900446,1935-12-09
C0000068,Laura,Soto,Female,70794404406,1926-04-23
C0000069,John,Salas,Male,66021471216,1927-06-05
C0000070,Anthony,Robinson,Male,17555340961,1985-01-07
C0000071,Jennifer,Hall,Female,47253917744,1993-11-10
C0000072,David,Williams,Male,43332367609,1989-08-11
C0000073,Lindsey,Navarro,Female,24271375832,2003-01-20
C0000074,David,Perkins,Male,10022472815,1933-08-19
C0000075,Rita,Wallace,Female,26135647691,1940-08-25
C0000076,Stephanie,Holland,Female,13316239447,1993-01-02
C0000077,Chelsea,Smith,Female,66231687388,1981-05-20
C0000078,Catherine,Young,Female,33455513132,1946-09-07
C0000079,Kim,Lozano,Female,12113337784,1967-02-16
C0000080,Bonnie,Hill,Female,75613637983,1969-09-20
C0000081,Michael,Newton,Male,64854402670,1928-08-08
C0000082,Richard,Arias,Male,53918894937,1960-09-07
C0000083,Timothy,Crane,Male,96380548661,1927-06-21
C0000084,Warren,Lang,Male,28114375129,1960-09-22
C0000085,Andrew,Boyd,Male,76410460048,1951-06-15
C0000086,Joseph,Edwards,Male,47104300456,1990-07-23
C0000087,Tammy,Anderson,Female,33499842353,1995-09-16
C0000088,Ruth,Holden,Female,94767000333,1937-04-13
C0000089,Vanessa,Galvan,Female,98509589692,1986-12-31
C0000090,Ronnie,Elliott,Male,81190560743,1978-03-13
C0000091,Christopher,Sosa,Male,52145769534,1937-08-05
C0000092,Paige,Sanchez,Female,24019349010,1935-08-14
C0000093,Robert,Graves,Male,11607345740,1949-03-29
C0000094,Michael,Moore,Male,82662699972,1985-06-11
C0000095,Nicole,Jones,Female,96932708219,1950-07-12
C0000096,Amanda,Rivers,Female,11383746394,1939-11-04
C0000097,Brian,Bennett,Male,82694195863,1924-01-17
C0000098,Joshua,Travis,Male,33035716729,2003-05-19
