vip_id,first_name,last_name,customer_id,contact
VIP000001,Megan,Edwards,C0047911,60694826328
VIP000002,James,Smith,C0047944,18231095621
VIP000003,Tyler,Mcpherson,C0030638,30018913516
VIP000004,Ashley,Scott,C0039913,73418553453
VIP000005,Timothy,Cole,C0034609,20619031777
VIP000006,April,James,C0051023,19706549287
VIP000007,Lauren,Carter,C0002771,72650247139
VIP000008,Christina,Joseph,C0048301,47450610381
VIP000009,Keith,Martinez,C0032365,30949653119
VIP000010,Austin,Dixon,C0010765,90153330931
VIP000011,Jennifer,Stewart,C0021847,42604424250
VIP000012,Joseph,Edwards,C0000086,47104300456
VIP000013,Matthew,Yoder,C0012114,33699580026
VIP000014,Angela,Chan,C0022516,70894900286
VIP000015,Anthony,Park,C0026532,48161108775
VIP000016,Mitchell,Perez,C0026313,19799856045
VIP000017,Heather,Davis,C0020054,81063319918
VIP000018,Karla,Powell,C0007241,86291492287
VIP000019,Jeff,Obrien,C0004141,54349181001
VIP000020,Kelsey,Pruitt,C0011969,19955644869
VIP000021,Angela,Thomas,C0044080,37221123190
VIP000022,Tammy,Dunn,C0053194,78515989311
VIP000023,Luke,Williams,C0008626,96058702727
VIP000024,Ashley,Walker,C0042853,96381935748
VIP000025,Steven,Lopez,C0025182,54607326133
VIP000026,Christopher,Larsen,C0030938,17117054836
VIP000027,John,Vasquez,C0001814,55593786541
VIP000028,Daniel,Peterson,C0035354,77840203769
VIP000029,Chad,Burton,C0048491,45003858836
VIP000030,Julie,Snow,C0033082,80187516229
VIP000031,Rebecca,Lam,C0051900,65931240572
VIP000032,Sonya,Sweeney,C0054152,14561703570
VIP000033,Jennifer,Marquez,C0044090,26872365119
VIP000034,Shannon,Black,C0013390,22146155422
VIP000035,Catherine,Reed,C0052832,19962427219
VIP000036,Tammy,Moore,C0030282,91291040387
VIP000037,Jordan,Patterson,C0010252,85461388282
VIP000038,Joseph,Dunlap,C0039625,69486591802
VIP000039,Sarah,Williams,C0022571,74518754836
VIP000040,Patricia,Garrett,C0003992,21908151060
VIP000041,Becky,Singh,C0015262,93602937168
VIP000042,Amber,Francis,C0048442,47193918163
VIP000043,Peter,Tran,C0009810,75340742821
VIP000044,Kim,Green,C0054303,43765641943
VIP000045,Jocelyn,Carter,C0001420,72287331650
VIP000046,Carlos,Downs,C0020500,59022093445
VIP000047,Debra,Taylor,C0042402,27631776646
VIP000048,Brian,Scott,C0005486,53658304676
VIP000049,Courtney,Buck,C0002057,47621693661
VIP000050,Brittany,Spencer,C0018601,63196788195
VIP000051,Matthew,Rhodes,C0037212,39954343297
VIP000052,Ryan,Sanchez,C0018719,61966363819
VIP000053,Rodney,West,C0012347,91033456312
VIP000054,Tiffany,Wallace,C0010402,24986131887
