employee_id,gender,username,first_name,last_name,birthday,branch_id
EMP000022,Female,melendezkenneth,Jun,Cai,1964-07-27,GY644309
EMP000026,Male,maryayers,Lan Ying,Liao,1979-02-20,GY632126
EMP000034,Female,smithdavid,Hao,Zhang,1963-08-09,GY135043
EMP000037,Male,gail57,Feng Lan,Wu,1985-08-19,GY819261
EMP000047,Male,acastro,Xue,Jiang,1972-07-18,GY617968
EMP000049,Male,salazarandrea,Yu Mei,Zhang,1971-03-09,GY617968
EMP000051,Male,pmckee,Jie,Zhang,1974-10-27,GY425110
EMP000059,Female,smiller,Yu Lan,Bao,1967-03-05,GY910127
EMP000062,Female,zstephenson,Li,Wu,1987-04-08,GY733568
EMP000073,Male,hjohnson,Jian Ping,Ge,1976-08-13,GY609109
EMP000095,Female,kristinjohnson,Yu Mei,Xu,2001-06-04,GY581986
EMP000096,Female,angel52,Jian Hua,Zou,1973-11-16,GY049953
EMP000101,Male,philip51,Ning,Tang,1994-09-05,GY036284
EMP000106,Female,misty44,Gui Ying,Yang,1964-07-31,GY120093
EMP000118,Male,paul10,Ming,Li,1976-01-28,GY636174
EMP000131,Male,cynthiamills,Xin,Sheng,2004-04-07,GY742899
EMP000145,Male,jamesmcfarland,Zhi Qiang,Zhou,1992-04-18,GY513849
EMP000146,Male,david74,Feng Lan,Wang,1963-12-29,GY710078
EMP000152,Female,kylewilliams,Gui Ying,Wang,1980-08-06,GY117524
EMP000167,Female,mle,Dong Mei,Cui,1965-11-30,GY026599
EMP000183,Male,perezlauren,Liang,Chen,1982-12-22,GY968909
EMP000190,Female,rachel35,Yan,Liang,1981-02-01,GY958466
EMP000200,Female,doris13,Gui Xiang,Liu,2000-12-03,GY513849
EMP000217,Male,iwells,Dan,Song,1987-10-04,GY150157
EMP000232,Male,ryan74,Yang,Huang,1989-12-04,GY173787
EMP000233,Female,brandibond,Gui Ying,Li,1962-02-09,GY516352
EMP000255,Male,leetina,Yu Lan,Leng,1992-11-20,GY571730
EMP000263,Male,alexander70,Ping,Ceng,1993-07-30,GY767515
EMP000267,Female,riggsmatthew,Bin,Nie,1979-05-26,GY999136
EMP000280,Female,obest,Yu,Deng,1993-03-03,GY543586
EMP000286,Female,robinsonnancy,Jing,Xia,1968-12-02,GY427759
EMP000287,Male,christophermalone,Ling,Cai,1979-11-03,GY708981
EMP000305,Male,ogarcia,Bin,Ge,1980-08-24,GY121651
EMP000314,Female,jeffrey82,Lei,Hou,2004-01-11,GY609976
EMP000324,Female,jennifervargas,Xiu Mei,Li,2002-07-28,GY267467
EMP000327,Female,derrickmedina,Ming,Liu,1974-10-04,GY372028
EMP000353,Female,noah94,Feng Lan,Li,1968-08-02,GY699579
EMP000354,Female,daniel61,Hong,He,1969-03-24,GY187794
EMP000366,Female,jamie46,Jian Ping,Cheng,1976-09-09,GY293130
EMP000395,Male,davenportstephanie,Rong,Yang,1973-04-30,GY541992
EMP000406,Male,etucker,Gui Fang,Liu,1996-09-25,GY667912
EMP000422,Female,chenderson,Ting Ting,Wang,1980-07-10,GY042346
EMP000423,Female,timothyevans,Shu Ying,Xue,1991-12-25,GY778117
EMP000437,Male,timothyallen,Mei,Yuan,1999-01-25,GY975507
EMP000442,Male,johnsonalexander,Jian,Li,1980-05-08,GY475186
EMP000462,Male,zachary64,Lei,Wan,1992-01-29,GY301925
EMP000463,Female,sara64,Li Li,Li,2006-07-12,GY675960
EMP000479,Female,tyler21,Ying,Wang,2000-06-20,GY899684
EMP000496,Male,ohudson,Li Hua,Yang,1973-10-14,GY966049
