person_id,username,password,role,first_name,last_name,gender,birthday,phone,id_number,join_date,branch_id,qualification_no,qualification_expiry,specialty,position
100000,rachel87,R_m89F%pJb#A,member,Fang,Wang,M,2002-08-15,18593893781,219061200208152567,2024-02-01,309,,,,
100001,maldonadodavid,_w^2RpzzxLef,member,Xiu Mei,Han,M,1982-12-27,18874598308,318556198212271047,2022-03-18,207,,,,
100002,william30,^_AtYINYt9$1,member,Gui Rong,Yu,M,1966-10-13,13944648896,605563196610132534,2022-12-09,372,,,,
100003,donald53,!vK!QTWn+L(8,member,Xiu Ying,Zhao,M,1985-09-26,15081735196,468396198509260357,2023-05-07,452,,,,
100004,xzamora,N2J$!Uf4&e4h,member,Jin Feng,Yang,F,2000-11-08,13445368779,654616200011083161,2022-08-11,478,,,,
100005,mary00,$NUI2(lBaH5t,member,Yu Lan,Shu,M,1988-10-21,18926856647,418672198810212764,2021-04-02,188,,,,
100006,hornkendra,4+8ue@actwEC,member,Jian Hua,Jia,F,1965-03-06,13990792400,202230196503062611,2023-10-31,86,,,,
100007,annettewells,S!KL45_qU%3@,member,Xiang,Hai,M,1961-05-23,15373526281,41741019610523402X,2023-06-09,382,,,,
100008,nguyenkara,%FX9&XJd7ZoE,coach,Gui Fang,Tian,M,1988-10-18,18002026398,658688198810189004,2023-12-08,82,QC94781948,2026-12-08,Weightlifting,Coach
100009,tjohnson,CK1M4zD1^oFb,admin,Jin Feng,Zhao,F,1991-05-11,13425535270,561680199105112842,2020-12-23,216,,,,Administrator
100010,allenann,_4fRCxeda_9L,member,Fei,Huang,F,1962-10-15,14535518996,559574196210158188,2025-02-04,267,,,,
100011,ebrown,%c@eWji2V4TS,staff,Feng Lan,Xu,F,1981-06-05,18867755083,16138519810605974X,2022-12-12,384,,,,Sales
100012,iramos,!00Ld90R)Voo,member,Xiang,Zhu,F,1963-02-17,13575185966,52655919630217505X,2023-08-14,200,,,,
100013,gregory02,RW#TqArq5908,member,Xiu Lan,Wang,M,1978-05-25,13865820679,498483197805259370,2022-03-19,66,,,,
100014,samanthanewman,oAs$xKM@S^2R,member,Gui Rong,Liu,M,1961-10-14,14506863669,17714319611014510X,2020-09-04,296,,,,
100015,etaylor,GA)U9Gnrm#xD,member,Jun,Bai,F,1988-02-18,13695847332,450309198802189915,2021-06-24,10,,,,
100016,nancykelly,5SL5VZml$15!,member,Li,Lin,M,1974-06-01,13269512391,601146197406017334,2023-11-30,113,,,,
100017,amywoods,#2D5#IgiTW*8,staff,Jian,Yao,M,1976-10-10,18158652135,34124119761010864X,2023-01-30,100,,,,Receptionist
100018,smadden,L+Bs4WCiRl@5,member,Yu,Wen,M,1977-06-30,13171298227,135682197706303047,2024-11-20,92,,,,
100019,kevinjones,++z7KVUkAZ9g,member,Gui Ying,Guo,F,1969-03-08,13375886921,546017196903080008,2020-09-10,182,,,,
100020,shannonbarber,2eV(zJB_4+vL,member,Jing,Hua,M,1986-12-20,15797767410,642177198612204722,2023-09-01,341,,,,
100021,newmantanner,!h)X7xq50iC#,member,Hua,Huang,F,1997-07-23,15695242574,65698519970723459X,2020-11-21,366,,,,
100022,darlenelambert,%YU&My6XX9Po,member,Gui Rong,He,F,1976-07-30,18114755540,155265197607301283,2021-07-14,147,,,,
100023,margaret63,k5+ImuOO_%0X,member,Lin,Wang,M,1962-03-19,13829325197,232795196203199585,2021-06-13,449,,,,
100024,katherine07,)1@d(7F8%9QM,member,Zhi Qiang,Chang,F,1979-03-17,13718574113,260338197903170716,2023-11-28,493,,,,
100025,danconway,56QfSry&@s6C,member,Hui,Qiu,M,1994-08-07,13276750254,52998519940807633X,2021-07-06,337,,,,
100026,qwalker,)y!N^OAqudE2,staff,Gui Ying,Liu,F,1977-10-12,14573826541,452828197710127938,2025-01-21,227,,,,Manager
100027,claytonlin,em(s^1RxJ+2Y,member,Lei,Wu,M,1960-10-28,15192753916,50407219601028987X,2021-12-25,491,,,,
100028,amanda09,@!j0cgYmF$#M,member,Gui Lan,Xia,F,1968-11-04,18266132494,303614196811041841,2022-02-28,66,,,,
100029,lharper,%MqUTJgl*@X2,member,Xiu Mei,Gou,M,1995-10-26,18973912504,458276199510266395,2024-05-17,293,,,,
100030,richardgarcia,tCdF!tXN@5tq,member,Bo,Zhang,F,2001-10-01,15679261000,617625200110016696,2024-03-08,410,,,,
100031,esparzaashley,4YHUAR#uT3o_,member,Qin,Le,F,1974-11-08,15796608248,284040197411084328,2025-01-08,389,,,,
100032,heatherwatson,f7!T2Uyf@)*T,member,Hui,Hu,F,1976-08-10,15623717419,600201197608106402,2022-01-18,487,,,,
